siteid,UnC_area_per_len,A_area_per_len,B_area_per_len,CUn_area_per_len,Other_area_per_len
BX9,42.54777742260075,34.72233193622977,0.0,63.364634341176995,52.384407922905986
BL0,10.218918514349213,9.464790367391977,16.140991279392807,0.0,21.81501204208884
CD9,13.888892753110364,12.5951969023082,20.121072308959686,0.0,24.77225855825842
CD1,33.76862692005395,16.790598217624293,32.86300271559249,49.41956808205542,37.11636931439227
CT2,6.7779926395184695,7.084152346131879,5.633152944139203,30.535483234942426,17.630139777977046
CT3,7.326240117964409,8.820414340106307,10.07994353804911,25.25516413233538,16.41502100362971
CR8,38.75377616902928,21.628544250270824,44.40732874093049,49.3963387197628,60.472118357229746
GR4,13.541008251641838,21.70382910109154,0.0,17.71761182112152,18.17843920991927
GB0,46.65059075032582,51.32740519399462,51.62283905387112,61.52668547724664,55.76674898695614
GN6,28.140480899084558,16.788485532228552,0.0,30.12795607646425,26.38106218354181
GN3,37.4359480059546,35.94053620884312,55.11491832783351,46.45648996834762,66.6639591540603
GR9,26.327443601264434,17.567141674286393,0.0,0.0,34.0640612157081
HV1,47.129151016315205,53.71286436271659,53.137185554667816,52.66866878362414,84.75567868199629
LH0,44.821157769067575,33.65702319671487,0.0,57.644284687200134,51.74357784785611
KC1,21.542435894512263,18.207296925347432,30.04370958294731,25.962789659426747,37.945912130816424
HP1,38.327006838359715,43.2356382171504,43.28192576683765,50.73038143757755,71.64097984256765
LW2,32.95725606641231,28.38660112941025,43.005146540705425,64.51299170130008,44.006478478996655
TD5,39.06060008951928,37.537510666436354,44.13122423664075,45.49185648031419,80.39164841769137
ST5,38.641518499451905,60.89030661554268,56.16286238099955,0.0,34.47980942354133
TH4,24.619046515333558,12.550690298813208,27.48603635294547,33.96043041051295,27.738285349126798
MY7,6.46108875300807,8.558717580926197,8.334035397166566,9.384318779645115,28.079788376676817
