siteid,sitename,Value
BX9,Bexley - Slade Green FDMS,11.17074925037225
BL0,Camden - Bloomsbury,10.9085208113804
CD9,Camden - Euston Road,13.712562785388128
CD1,Camden - Swiss Cottage,11.058463733754829
CT2,City of London - Farringdon Street,13.902287495609414
CT3,City of London - Sir John Cass School,12.142583487893171
CR8,Croydon - Norbury Manor,10.125421496311908
GR4,Greenwich - Eltham,10.887037232174217
GB0,Greenwich - Falconwood FDMS,12.56916622760801
GN6,Greenwich - John Harrison Way,11.039737453314295
GN3,Greenwich - Plumstead High Street,13.363480228207573
GR9,Greenwich - Westhorne Avenue,10.482014840182648
HV1,Havering - Rainham,11.368689813517152
LH0,Hillingdon - Harlington,9.412646206533193
KC1,Kensington and Chelsea - North Ken,9.567550930804355
HP1,Lewisham - Honor Oak Park,9.931489726027397
LW2,Lewisham - New Cross,15.422344590021932
TD5,London Teddington Bushy Park,11.686217068317527
ST5,Sutton - Beddington Lane north,11.732403407095187
TH4,Tower Hamlets - Blackwall,12.610338011084334
MY7,Westminster - Marylebone Road FDMS,14.190663383858853
,,11.775446103783608
